,post_id,perc_miss_comment_author,total_num_nodes,total_density,num_weak_component,num_strong_component,main_miss_node,main_num_nodes,main_density,main_transitivity,main_avg_shortest_path,main_diameter,main_radius,main_eccentricity_mean,main_eccentrisity_std,avg_periphery_lkarma,avg_periphery_ckarma,avg_center_lkarma,avg_center_ckarma,in_degree_top_avg_lkarma,in_degree_top_avg_ckarma,out_degree_top_avg_lkarma,out_degree_top_avg_ckarma,close_top_avg_lkarma,close_top_avg_ckarma,between_top_avg_lkarma,between_top_avg_ckarma,hub_top_avg_lkarma,hub_top_avg_ckarma,auth_top_avg_lkarma,auth_top_avg_ckarma,author_lkarma,author_ckarma
0,1u57ld,0.3333333333333333,4,0.16666666666666666,2,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1u5hdf,0.17142857142857143,19,0.06140350877192982,2,16,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1u5jw2,0.15625,37,0.038288288288288286,1,27,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1u5k9u,0.347926267281106,133,0.009227614490772385,4,118,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1u5low,0.23429951690821257,182,0.007073037459777791,7,146,0.15384615384615385,13.0,0.14743589743589744,0.0,3.769230769230769,9.0,5.0,6.923076923076923,1.071414482860317,83.0,32997.0,9755.0,6594.0,10819.0,35979.0,1272.0,242149.0,10819.0,35979.0,9755.0,6594.0,1272.0,242149.0,10819.0,35979.0,2016.0,572.0
5,1u5m25,0.2774869109947644,164,0.009950620978602423,3,108,0.075,40.0,0.0641025641025641,0.06460674157303371,5.703846153846154,10.0,4.0,6.85,1.4585952145814822,,,58908.0,31718.0,13140.25,76538.25,7531.25,77669.5,6745.25,2352.5,11918.5,78840.0,30549.0,17842.5,45830.25,180912.0,21853.0,620.0
6,1u5m3t,0.15476190476190477,42,0.02613240418118467,4,38,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1u5nmw,0.24481327800829875,92,0.014811275680840898,4,72,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1u5npi,0.33962264150943394,20,0.05263157894736842,3,19,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1u5tzg,0.17886178861788618,77,0.014866712235133289,2,72,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1u5zz3,0.24,8,0.23214285714285715,1,3,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1u6173,0.0,9,0.1111111111111111,1,9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1u61qu,0.16040100250626566,227,0.0051459982066975945,6,201,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1u64q9,0.07142857142857142,8,0.17857142857142858,1,6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1u65dm,0.14583333333333334,33,0.032196969696969696,2,30,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1u6ijo,0.2357142857142857,52,0.02790346907993967,2,40,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1u6itl,0.1978021978021978,121,0.012052341597796144,7,90,0.07692307692307693,13.0,0.16025641025641027,0.1,5.878205128205129,7.0,4.0,5.6923076923076925,0.9910845174403944,755.0,12170.333333333334,1466.5,22880.0,1.0,63.0,2036.0,6701.0,1.0,63.0,1.0,63.0,17.0,666.0,2916.0,45094.0,440534.0,7965.0
17,1u6iym,0.038461538461538464,28,0.0582010582010582,1,17,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1u6sc3,0.2097560975609756,81,0.01558641975308642,8,61,0.058823529411764705,17.0,0.125,0.041666666666666664,5.011029411764706,6.0,3.0,4.764705882352941,0.7299808027053445,5528.0,10641.0,2616.0,37308.0,1513.5,27110.0,1513.5,27110.0,1513.5,27110.0,1513.5,27110.0,3550.0,9609.5,4343.0,38970.0,801694.0,17338.0
19,1u6tnz,0.2222222222222222,7,0.14285714285714285,2,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1u7i0x,0.16666666666666666,25,0.04666666666666667,1,22,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1u7ts2,0.23648648648648649,60,0.021468926553672316,1,50,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1u7xab,0.5,3,0.3333333333333333,1,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1u87d1,0.19047619047619047,14,0.08241758241758242,1,12,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1u87go,0.15151515151515152,47,0.022201665124884366,3,44,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1u886v,0.21245503597122303,1842,0.0007569765994853621,17,1513,0.059322033898305086,118.0,0.0171664493698392,0.0016666666666666668,8.323772272924815,17.0,9.0,12.711864406779661,1.712870991190503,1779.5,33340.0,1.0,5992.0,4621.3,40253.4,3033.4,30851.9,2766.181818181818,28479.18181818182,3678.1666666666665,32203.833333333332,2408.3636363636365,13805.636363636364,1663.909090909091,43139.36363636364,79940.0,25394.0
26,1u89b6,0.1875,54,0.02166317260656883,2,48,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1u8b6v,0.23275862068965517,42,0.033101045296167246,2,34,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1u8e8a,0.15853658536585366,226,0.006293018682399214,3,184,0.08695652173913043,23.0,0.08893280632411067,0.058823529411764705,5.456521739130435,10.0,5.0,7.478260869565218,1.2809495532744553,1264.0,68873.0,588.5,3675.5,76.0,14340.0,449.0,74280.5,1640.0,1893.5,1640.0,1893.5,7709.5,119333.0,76.0,14340.0,509902.0,1881.0
29,1u95md,0.14772727272727273,42,0.032520325203252036,1,33,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1u986x,0.1848441926345609,634,0.002068164715614893,15,517,0.15384615384615385,13.0,0.16666666666666666,0.075,3.7435897435897436,8.0,3.0,5.3076923076923075,1.4876215081395165,,,95.5,10769.5,9089.0,49878.0,7815.0,6179.0,9089.0,49878.0,7815.0,6179.0,2902.0,16663.0,9089.0,49878.0,4841.0,46.0
31,1u9fvr,0.27,92,0.01206402293358815,4,84,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1u9gzr,0.11428571428571428,20,0.060526315789473685,2,19,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1u9wil,0.15789473684210525,13,0.08333333333333333,1,12,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1ua16y,0.25,18,0.06209150326797386,1,18,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1ua204,0.03225806451612903,20,0.06315789473684211,1,17,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1uacyf,0.1518987341772152,98,0.015674310961498,1,78,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1uaepk,0.35384615384615387,18,0.06862745098039216,1,15,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1uaflg,0.21428571428571427,17,0.058823529411764705,3,15,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1uap1x,0.3170731707317073,18,0.06535947712418301,2,15,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1uas8t,0.2857142857142857,42,0.0313588850174216,3,37,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1uasud,0.30952380952380953,17,0.0661764705882353,1,17,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1ub036,0.509090909090909,18,0.05555555555555555,2,17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1ub40a,0.13978494623655913,76,0.02087719298245614,1,42,0.043478260869565216,23.0,0.08893280632411067,0.029411764705882353,4.800395256916996,9.0,5.0,7.043478260869565,1.3980813209403067,832.2,25154.4,10875.0,64148.333333333336,791.0,330333.5,26467.0,97721.5,791.0,330333.5,15057.0,63216.0,2746.5,8057.0,10.5,11332.5,79940.0,25394.0
44,1ub4a2,0.1,15,0.0761904761904762,1,14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1ub5a7,0.18685121107266436,521,0.0025358039273586297,9,426,0.08333333333333333,60.0,0.03587570621468927,0.02962962962962963,6.47909604519774,12.0,6.0,8.633333333333333,1.3034143197344765,,,5083.5,113353.0,5650.0,139351.33333333334,7298.5,153999.33333333334,7403.166666666667,142167.16666666666,7033.666666666667,148469.5,21282.2,102491.6,22845.666666666668,127630.83333333333,207223.0,3882.0
46,1ub88w,0.13793103448275862,22,0.05194805194805195,1,19,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1ubgpy,0.2516778523489933,93,0.01694717157550257,3,65,0.0,14.0,0.14835164835164835,0.0,4.642857142857143,8.0,3.0,5.5,1.4015297764534702,916.0,26004.5,17.0,18669.0,255.0,74221.0,65.0,7690.0,255.0,74221.0,17.0,18669.0,255.0,74221.0,148.0,39740.0,482481.0,36754.0
48,1uc0cq,0.16666666666666666,22,0.05411255411255411,1,20,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1uc3zn,0.20454545454545456,60,0.015819209039548022,5,59,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1uc4kr,0.6956521739130435,3,0.3333333333333333,1,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1ucck3,0.26126126126126126,70,0.019254658385093167,4,55,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1ucdjf,0.14615384615384616,109,0.014695888549099558,2,75,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1ucjza,0.29850746268656714,37,0.02927927927927928,1,35,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1uclm0,0.125,7,0.16666666666666666,1,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1uclz5,0.2222222222222222,46,0.02608695652173913,4,37,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1ucnj4,0.3146067415730337,24,0.057971014492753624,2,18,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1ucrms,0.19964028776978418,133,0.013784461152882205,3,59,0.04411764705882353,68.0,0.03555750658472344,0.05058365758754864,6.576821773485514,9.0,5.0,7.102941176470588,0.8426098441633404,22.0,488.0,2201.5,12989.5,2906.714285714286,8807.714285714286,7350.0,56974.666666666664,2965.1428571428573,25050.714285714286,7502.428571428572,64721.28571428572,10172.0,26433.714285714286,1826.6666666666667,17716.833333333332,5492.0,12764.0
58,1uczqn,0.12254901960784313,86,0.018331053351573187,1,56,0.13636363636363635,22.0,0.09956709956709957,0.033783783783783786,4.0995670995671,7.0,4.0,5.363636363636363,0.8282212344676635,6895.0,19906.0,10908.0,42779.0,14198.0,49173.5,14198.0,49173.5,3218.0,4199.0,14198.0,49173.5,7434.0,24543.0,1876.0,85140.0,,
59,1uczxe,0.20306324110671936,846,0.0016604417586414313,8,674,0.07079646017699115,113.0,0.018331226295828066,0.023214285714285715,9.684260429835652,26.0,10.0,15.91150442477876,3.202757446143866,689.0,15269.0,80829.0,106454.0,17869.272727272728,44897.181818181816,12679.09090909091,26247.727272727272,16933.0,56130.0,12408.727272727272,30503.81818181818,2345.9,22928.7,30716.7,146461.5,9798.0,1155.0
60,1ud0x7,0.17647058823529413,21,0.06190476190476191,1,16,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1udph9,0.0,5,0.25,1,4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1uduhs,0.0,4,0.25,1,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1udvrn,0.24311926605504589,100,0.011515151515151515,8,86,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1udwac,0.19168173598553345,528,0.002512075211316198,7,457,0.09090909090909091,22.0,0.09090909090909091,0.08823529411764706,4.541125541125541,10.0,4.0,7.0,1.6236882817719773,396553.0,305666.0,11158.0,35923.0,5596.5,18910.5,5579.5,18201.5,489.5,4847.0,472.5,4138.0,1.0,480.0,216.0,24730.0,4207056.0,86608.0
65,1udxmx,0.125,78,0.016983016983016984,2,61,0.0,15.0,0.13333333333333333,0.0,4.071428571428571,6.0,3.0,4.466666666666667,0.8055363982396382,1616.5,62341.5,364.0,1196.0,5761.0,18559.5,5761.0,18559.5,5761.0,18559.5,5761.0,18559.5,332.5,15275.5,5643.5,42296.5,7855547.0,80796.0
66,1udz7c,0.2682926829268293,31,0.04408602150537634,1,24,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1ue6bk,0.17669172932330826,81,0.019290123456790122,1,55,0.058823529411764705,17.0,0.1323529411764706,0.125,7.595588235294118,7.0,3.0,4.823529411764706,0.9843059135695007,627.0,2305.0,1494.5,27443.5,101524.0,45857.0,2830.0,53255.0,101524.0,45857.0,2830.0,53255.0,50841.5,23744.5,2830.0,53255.0,376973.0,286507.0
68,1ue6z0,0.3888888888888889,29,0.0480295566502463,1,22,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1uebpo,0.0,15,0.09047619047619047,1,11,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1uecjq,0.18093699515347333,300,0.0042586399108138235,10,250,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1uek31,0.3380281690140845,22,0.05844155844155844,2,19,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1ueq2b,0.057692307692307696,22,0.08441558441558442,1,10,0.0,11.0,0.21818181818181817,0.14285714285714285,3.0,4.0,2.0,3.1818181818181817,0.5749595745760689,3906.6666666666665,18268.0,126535.0,4925.0,126535.0,4925.0,126535.0,4925.0,126535.0,4925.0,126535.0,4925.0,126535.0,4925.0,126535.0,4925.0,126535.0,4925.0
73,1uerxk,0.22794117647058823,67,0.018091361374943465,3,58,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1ueu5s,0.0,2,0.5,1,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1ufkns,0.0,10,0.1,1,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1ufmxs,0.2792022792022792,107,0.011990830541350733,5,89,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1ufpww,0.1644100580270793,172,0.009757921936624506,3,98,0.046153846153846156,65.0,0.03533653846153846,0.043076923076923075,5.613701923076923,10.0,5.0,7.753846153846154,1.1372134530816203,867.6666666666666,10461.666666666666,1569.5,238001.0,15485.0,174972.8,12506.2,172122.4,11968.2,250399.6,15370.0,219444.75,3102.2,31321.8,9172.5,138494.66666666666,79940.0,25394.0
78,1ug8iq,0.26251896813353565,249,0.005311568856069439,6,213,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1ugeoi,0.18181818181818182,9,0.125,1,8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1ugfng,0.1,8,0.16071428571428573,1,7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1ugh5q,0.21296296296296297,88,0.016065830721003135,1,70,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1ugj5k,0.13761467889908258,46,0.030434782608695653,1,34,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1ugmyx,0.1951219512195122,69,0.023231031543052002,1,35,0.0,27.0,0.0811965811965812,0.11290322580645161,3.898860398860399,9.0,4.0,6.888888888888889,1.257078722109418,44.5,9726.5,730.0,146824.0,15337.666666666666,56644.0,4209.333333333333,63105.333333333336,17695.666666666668,82930.66666666667,16369.666666666666,84073.33333333333,885.6666666666666,56699.333333333336,15338.666666666666,61385.666666666664,44089.0,160883.0
84,1ugnb2,0.3064516129032258,23,0.05928853754940711,1,19,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1ugni2,0.2102803738317757,117,0.009725906277630416,4,104,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1ugomm,0.125,15,0.1,1,10,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1ugpnx,0.2,11,0.10909090909090909,1,10,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1ugq7n,0.15139442231075698,141,0.00916919959473151,2,106,0.0,13.0,0.15384615384615385,0.0,3.41025641025641,6.0,3.0,4.846153846153846,0.7692307692307693,13558.0,20136.5,3639.0,56054.0,563.0,291.0,563.0,291.0,563.0,291.0,563.0,291.0,3639.0,56054.0,563.0,291.0,563.0,291.0
89,1uguvv,0.16289592760180996,111,0.01253071253071253,1,83,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1uh0g8,0.17777777777777778,31,0.035483870967741936,1,30,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1uhb28,0.2978723404255319,18,0.06535947712418301,2,15,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1uhirr,0.20640569395017794,145,0.007950191570881227,4,135,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1uiajl,0.12727272727272726,35,0.034453781512605045,2,31,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1uicgi,0.1606574761399788,913,0.0014687938356295997,10,757,0.05309734513274336,113.0,0.019832490518331226,0.03360488798370672,6.008138432364096,12.0,7.0,8.601769911504425,0.9172855589274292,346.0,17032.0,12125.25,94251.125,3930.0,23602.8,8846.2,84808.0,4043.2727272727275,35627.454545454544,4126.454545454545,47297.181818181816,7327.818181818182,56310.454545454544,4342.0,30295.727272727272,13914.0,62050.0
95,1uiq4y,0.19444444444444445,33,0.03977272727272727,3,24,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1uisnf,0.11940298507462686,21,0.08095238095238096,1,13,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1uivvk,0.1111111111111111,15,0.06190476190476191,2,15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1uj4qq,0.21052631578947367,13,0.07692307692307693,1,13,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1uj50u,0.22818791946308725,87,0.012296177492649024,5,79,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1uj5p5,0.23529411764705882,12,0.09090909090909091,1,11,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1uj5vr,0.304,95,0.015901455767077268,3,71,0.14285714285714285,21.0,0.11190476190476191,0.028846153846153848,5.571428571428571,10.0,3.0,5.761904761904762,1.715607955681126,21782.0,50417.0,1.0,289.0,907.0,34096.0,1.0,289.0,907.0,34096.0,1.0,289.0,1018.5,33270.0,,,782.0,0.0
102,1uj808,0.08928571428571429,26,0.05846153846153846,1,17,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1uj8nf,0.21670702179176757,656,0.0021038912679203128,6,525,0.09836065573770492,61.0,0.0366120218579235,0.05357142857142857,7.4049180327868855,12.0,7.0,9.475409836065573,1.2228233573096075,6475.0,78866.66666666667,5630.666666666667,22929.333333333332,1013.8333333333334,30494.0,830.5,34587.333333333336,7720.166666666667,64432.0,1527.3333333333333,30774.166666666668,858.5,4495.25,3435.6,38830.8,27570.0,13945.0
104,1ujaxm,0.13432835820895522,24,0.057971014492753624,2,18,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1ujbxz,0.22986247544204322,171,0.008015135878912968,8,133,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1ujefv,0.1111111111111111,16,0.0625,1,16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1ujfap,0.13636363636363635,12,0.12121212121212122,1,9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1ujifg,0.14814814814814814,59,0.021332554061952076,1,47,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1ujri6,0.2222222222222222,27,0.04415954415954416,2,23,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1ujynr,0.21739130434782608,14,0.07142857142857142,2,13,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1uk28u,0.1882430647291942,729,0.0017975851309184642,11,610,0.08108108108108109,37.0,0.04954954954954955,0.015151515151515152,5.265015015015015,12.0,7.0,9.27027027027027,1.244417776564469,52.5,9921.5,13086.0,35509.666666666664,3716.0,35098.0,3808.3333333333335,74956.33333333333,5648.5,62627.5,3735.5,12989.0,6802.333333333333,114323.0,6168.333333333333,18231.0,252403.0,1462.0
112,1uk49y,0.18518518518518517,31,0.03978494623655914,2,26,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1uk7gc,0.17289719626168223,86,0.016963064295485636,1,65,0.0,10.0,0.18888888888888888,0.0,4.311111111111111,6.0,3.0,4.2,0.8717797887081347,6176.0,4743.0,55506.5,40929.0,110110.0,60787.0,110110.0,60787.0,149.0,7023.0,110110.0,60787.0,110110.0,60787.0,149.0,7023.0,40487.0,6119.0
114,1ukhga,0.3333333333333333,19,0.06432748538011696,1,17,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1uklhw,0.2682926829268293,26,0.04153846153846154,1,26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1ukw3m,0.22943722943722944,75,0.02144144144144144,2,49,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1ulk09,0.3076923076923077,14,0.07142857142857142,1,14,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1ulkox,0.0,7,0.16666666666666666,1,6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1ulr21,0.1875,21,0.06190476190476191,1,18,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1ulsrh,0.125,7,0.16666666666666666,1,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1ulzk0,0.16216216216216217,22,0.05411255411255411,1,20,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1ulzv4,0.13636363636363635,9,0.1388888888888889,2,6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1um1dp,0.044444444444444446,32,0.038306451612903226,1,27,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1um2i9,0.20833333333333334,13,0.08974358974358974,2,11,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1um5ne,0.21495327102803738,106,0.01518418688230009,3,65,0.027777777777777776,36.0,0.05873015873015873,0.045,5.275396825396825,10.0,5.0,7.805555555555555,0.9949719271429064,15337.0,17163.0,396553.0,305666.0,5204.0,167125.5,104245.75,128825.75,5204.0,167125.5,5903.75,56121.5,100350.5,99109.5,6483.0,151533.25,,
126,1um8bo,0.2,92,0.012422360248447204,2,84,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1um9xn,0.1282051282051282,25,0.055,2,17,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1umaic,0.05263157894736842,15,0.07142857142857142,1,14,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1umd6x,0.15384615384615385,10,0.1111111111111111,1,9,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
130,1umet6,0.23684210526315788,37,0.03753753753753754,1,24,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1umi3r,0.30022075055187636,127,0.012123484564429446,3,88,0.05714285714285714,35.0,0.06302521008403361,0.02666666666666667,5.9789915966386555,13.0,5.0,10.142857142857142,1.8844151368961315,5586.0,41429.0,2589.0,37606.0,40495.25,125068.75,7305.75,44652.5,40495.25,125068.75,6534.75,71249.75,41025.5,147588.0,968.0,61068.666666666664,509902.0,1881.0
132,1umneb,0.17647058823529413,13,0.07692307692307693,1,13,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1umpzc,0.42105263157894735,19,0.05263157894736842,2,18,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1un12l,0.26046511627906976,53,0.03193033381712627,2,37,0.08333333333333333,12.0,0.18181818181818182,0.1111111111111111,4.053030303030303,6.0,3.0,4.416666666666667,0.759202798262025,10649.0,46354.0,1.0,18.0,1.0,18.0,1.0,18.0,1.0,18.0,1.0,18.0,2640.0,29790.0,1.0,18.0,16699.0,26575.0
135,1un58g,0.22358834244080145,923,0.0014089207361640222,14,767,0.02912621359223301,103.0,0.02046449647820293,0.0158311345646438,8.726917951646678,14.0,8.0,11.262135922330097,1.582434925109002,2697.285714285714,44043.857142857145,4552.5,29487.5,1695.1,32831.0,2123.7,34849.7,41954.8,70777.0,40941.4,57470.3,3367.222222222222,50429.333333333336,22303.7,37611.5,181580.0,9726.0
136,1ungrh,0.13157894736842105,37,0.033783783783783786,1,30,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1unmvi,0.16831683168316833,47,0.026364477335800184,1,38,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
138,1uno1j,0.09375,34,0.03832442067736185,1,24,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1unu4d,0.17737789203084833,80,0.03196202531645569,1,28,0.07547169811320754,53.0,0.05478955007256894,0.06200527704485488,4.8599419448476056,8.0,4.0,5.679245283018868,0.98619881851864,4307.0,4557.0,32910.166666666664,93622.16666666667,95477.2,70794.8,8274.8,76403.0,95174.2,63357.8,95441.6,70944.4,5491.2,54742.0,40772.75,36318.25,1472898.0,7040.0
140,1unyww,0.038461538461538464,16,0.08333333333333333,1,13,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1uolky,0.19858156028368795,34,0.049910873440285206,1,19,0.16666666666666666,12.0,0.1590909090909091,0.0,5.378787878787879,7.0,3.0,4.416666666666667,1.114924013354971,8415.0,11146.0,4239.0,31921.0,9.0,598.0,9.0,598.0,9.0,598.0,9.0,598.0,9.0,598.0,8469.0,63244.0,4260.0,2775.0
142,1uoomy,0.2,6,0.23333333333333334,1,5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1uothr,0.12698412698412698,45,0.026262626262626262,1,43,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1uox12,0.10344827586206896,19,0.06140350877192982,1,17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1up6xj,0.21311475409836064,34,0.034759358288770054,2,28,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1up8a7,0.21739130434782608,16,0.06666666666666667,1,15,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1up9eu,0.43902439024390244,10,0.08888888888888889,2,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1upay8,0.1891891891891892,78,0.017482517482517484,1,65,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1upbz8,0.29411764705882354,11,0.09090909090909091,2,10,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1upcoq,0.16417910447761194,30,0.047126436781609195,1,25,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1upcyy,0.1845102505694761,296,0.00510765002290426,2,198,0.07692307692307693,39.0,0.05465587044534413,0.08095238095238096,6.349527665317139,13.0,8.0,10.153846153846153,1.423942910452802,17943.333333333332,169690.0,11123.0,27074.0,16314.5,29277.75,17044.75,29669.75,17044.75,29669.75,16314.5,29277.75,20793.666666666668,35782.333333333336,20793.666666666668,35782.333333333336,4207056.0,86608.0
152,1updnj,0.18518518518518517,37,0.03678678678678678,1,30,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1updyl,0.16666666666666666,5,0.2,1,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1upe3u,0.18275862068965518,152,0.008365284071104914,3,129,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1upecc,0.3333333333333333,9,0.09722222222222222,2,9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1upf8z,0.2903225806451613,18,0.07516339869281045,3,12,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1upfbj,0.2,85,0.014985994397759104,4,75,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
